food_item_name,calories_per_plate
Tangy Rogan Josh with Raita,651
Rich Paneer Tikka Special,517
Creamy Idli Street Style,342
Flavourful Palak Paneer Extra Spicy,318
Chatpata Dosa Extra Spicy,563
Masaledar Chole Bhature Traditional,169
Aromatic Rogan Josh Traditional,383
Rich Samosa Traditional,379
Fiery Paneer Tikka Special,894
Herbed Butter Chicken Fusion,284
Hearty Chole Bhature Express,366
Flavourful Paneer Tikka with Raita,172
Aromatic Dal Makhani Deluxe,753
Tangy Chole Bhature Classic,666
Herbed Vada Extra Spicy,323
Masaledar Korma Special,276
Aromatic Kadhai Paneer Deluxe,525
Flavourful Pani Puri with Chutney,878
Creamy Paneer Tikka Street Style,816
Chatpata Vada Special,188
Authentic Naan Express,534
Fiery Dal Makhani Deluxe,805
Spicy Kadhai Paneer Deluxe,411
Hearty Dosa Deluxe,697
Tangy Palak Paneer with Raita,788
Fiery Butter Chicken with Raita,199
Tangy Pani Puri with Raita,758
Fiery Aloo Gobi Express,199
Savory Paratha Classic,827
Creamy Pakora Traditional,260
Rich Biryani Classic,819
Fiery Kadhai Paneer Classic,170
Masaledar Pakora with Chutney,199
Spicy Idli Deluxe,856
Delectable Chole Bhature Classic,268
Royal Pulao Fusion,576
Chatpata Korma with Chutney,604
Exquisite Paneer Tikka with Chutney,539
Zesty Pani Puri Classic,276
Hearty Rogan Josh Special,710
Aromatic Samosa Express,408
Traditional Pakora Classic,635
Spicy Butter Chicken Fusion,868
Flavourful Malai Kofta Classic,306
Fiery Samosa Special,360
Royal Butter Chicken with Chutney,861
Herbed Pakora Fusion,852
Authentic Paneer Tikka Extra Spicy,795
Aromatic Pani Puri with Chutney,159
Savory Korma Classic,458
Fiery Samosa with Chutney,580
Flavourful Korma Traditional,827
Masaledar Pulao with Chutney,253
Rich Biryani Express,828
Creamy Samosa Fusion,682
Aromatic Malai Kofta Fusion,426
Creamy Aloo Gobi Street Style,787
Masaledar Rogan Josh Extra Spicy,770
Rich Paratha Special,867
Savory Malai Kofta with Chutney,290
Chatpata Dal Makhani Deluxe,578
Herbed Rogan Josh Traditional,257
Rich Chole Bhature with Raita,673
Exquisite Kadhai Paneer with Chutney,886
Flavourful Kadhai Paneer Extra Spicy,782
Rich Naan with Chutney,270
Hearty Vada Express,439
Herbed Pulao Traditional,266
Fiery Idli Extra Spicy,258
Royal Pani Puri Express,659
Exquisite Korma Classic,353
Aromatic Rogan Josh Express,773
Exquisite Rogan Josh with Raita,354
Creamy Paratha Classic,419
Authentic Idli Express,685
Chatpata Chole Bhature with Raita,356
Chatpata Pulao Deluxe,516
Masaledar Paratha Traditional,870
Masaledar Pulao Deluxe,569
Hearty Chole Bhature Street Style,452
Hearty Aloo Gobi Traditional,314
Herbed Butter Chicken Express,190
Hearty Malai Kofta Special,711
Savory Aloo Gobi Fusion,658
Homestyle Naan Deluxe,362
Zesty Naan Special,854
Royal Naan Street Style,642
Royal Butter Chicken Special,488
Flavourful Dosa Express,390
Exquisite Butter Chicken Fusion,152
Exquisite Malai Kofta Street Style,163
Savory Palak Paneer Deluxe,837
Herbed Butter Chicken with Raita,241
Rich Naan Traditional,263
Tangy Samosa Street Style,737
Tangy Idli Extra Spicy,835
Spicy Vada with Chutney,655
Savory Pulao Deluxe,302
Homestyle Kadhai Paneer Express,242
Royal Dosa Fusion,673
Rustic Biryani Deluxe,226
Tangy Dal Makhani Express,890
Rich Biryani with Chutney,890
Traditional Chole Bhature Fusion,253
Chatpata Idli Deluxe,412
Traditional Rogan Josh with Chutney,809
Masaledar Palak Paneer Classic,386
Flavourful Samosa Extra Spicy,617
Chatpata Aloo Gobi Deluxe,453
Hearty Pani Puri Street Style,420
Rich Palak Paneer Fusion,625
Creamy Paratha Fusion,201
Fiery Vada Street Style,252
Savory Naan Fusion,328
Savory Pani Puri Extra Spicy,190
Creamy Pulao Express,447
Chatpata Paneer Tikka Fusion,518
Rich Aloo Gobi Street Style,843
Spicy Pakora Extra Spicy,470
Homestyle Butter Chicken with Raita,586
Creamy Idli Deluxe,268
Herbed Dosa Deluxe,247
Rich Butter Chicken Traditional,196
Hearty Naan Extra Spicy,159
Chatpata Pulao with Chutney,291
Hearty Chole Bhature Traditional,829
Hearty Aloo Gobi Street Style,812
Hearty Naan Express,324
Traditional Paneer Tikka Deluxe,486
Flavourful Aloo Gobi Street Style,516
Homestyle Dosa Classic,598
Authentic Chole Bhature Deluxe,786
Savory Aloo Gobi Traditional,424
Zesty Idli Special,900
Savory Samosa Extra Spicy,245
Masaledar Vada Street Style,531
Zesty Idli Street Style,500
Delectable Aloo Gobi Express,337
Herbed Pani Puri Fusion,266
Traditional Butter Chicken Street Style,560
Tangy Pani Puri Classic,559
Rich Idli with Raita,617
Homestyle Palak Paneer Express,428
Homestyle Dosa Express,544
Fiery Paratha Express,856
Spicy Kadhai Paneer Street Style,639
Traditional Butter Chicken with Chutney,581
Royal Idli with Raita,814
Creamy Biryani Street Style,320
Spicy Pakora Traditional,265
Rich Pulao Deluxe,285
Fiery Chole Bhature Street Style,862
Herbed Pulao Fusion,893
Zesty Vada Fusion,210
Chatpata Dosa Deluxe,313
Herbed Malai Kofta Extra Spicy,256
Flavourful Paneer Tikka with Chutney,576
Masaledar Kadhai Paneer Fusion,754
Rich Idli Classic,644
Savory Korma with Raita,732
Creamy Palak Paneer Street Style,844
Exquisite Pulao Deluxe,598
Savory Pulao Traditional,335
Zesty Pulao Fusion,775
Royal Rogan Josh Special,538
Hearty Idli Extra Spicy,517
Spicy Samosa Fusion,776
Spicy Samosa Classic,179
Hearty Vada Classic,850
Flavourful Korma Fusion,894
Savory Pulao with Raita,283
Delectable Dosa Traditional,644
Exquisite Dal Makhani Classic,649
Savory Pakora Express,265
Rustic Palak Paneer with Raita,571
Hearty Biryani Street Style,601
Rich Dal Makhani with Raita,197
Authentic Biryani Street Style,214
Herbed Pani Puri Extra Spicy,417
Herbed Pakora Street Style,820
Fiery Palak Paneer Traditional,471
Homestyle Butter Chicken Express,162
Spicy Paneer Tikka Special,871
Exquisite Dal Makhani Express,844
Herbed Chole Bhature with Raita,687
Authentic Paneer Tikka Street Style,740
Zesty Pani Puri with Chutney,891
Spicy Biryani Express,728
Fiery Paratha with Raita,379
Aromatic Rogan Josh with Raita,835
Spicy Paneer Tikka Express,496
Tangy Idli Street Style,681
Aromatic Vada Extra Spicy,685
Exquisite Palak Paneer Deluxe,854
Spicy Pulao Deluxe,867
Royal Palak Paneer Street Style,783
Creamy Kadhai Paneer Fusion,247
Traditional Kadhai Paneer Special,593
Spicy Vada Express,827
Aromatic Naan with Raita,894
